student_id,age,gender,years_in_program,cumulative_gpa,backlogs_count,attendance_percentage,consecutive_absences_max,daily_study_hours,class_participation_score,extracurricular_involvement_score,peer_collaboration_score,ct1_marks_25,ct2_marks_25,assignment_marks_15,mid_sem_marks_35,risk_category
650,22,Male,4,7.51,0,85.0,0,3.61,7.53,5.95,5.97,24.4,23.8,11.1,31.5,Good-Performance
651,19,Female,1,6.18,0,78.9,2,2.4,8.41,6.47,7.31,16.4,14.0,10.4,27.3,Moderate-Risk
652,20,Male,1,7.34,3,67.5,1,2.1,6.86,4.03,5.5,13.8,10.4,6.6,16.0,High-Risk
653,18,Female,1,3.96,4,59.3,0,1.78,2.69,4.9,6.64,12.6,13.3,4.0,9.0,High-Risk
654,21,Female,2,6.29,6,73.4,3,3.76,8.74,2.92,8.4,13.9,8.1,10.7,21.0,Moderate-Risk
655,20,Female,2,7.87,0,80.6,1,0.96,5.2,2.94,5.79,17.3,16.8,9.1,19.6,Moderate-Risk
656,20,Female,3,8.99,0,94.5,1,5.0,7.86,1.13,7.63,23.0,23.6,11.8,27.7,Good-Performance
657,21,Male,2,8.85,1,78.7,2,2.97,10.0,3.73,6.84,18.3,14.3,11.4,22.0,Moderate-Risk
658,20,Male,1,7.34,1,83.0,0,3.61,7.9,,6.65,20.9,24.4,11.5,34.7,Good-Performance
659,17,Male,2,4.87,4,54.5,4,2.75,3.68,7.83,6.42,13.8,11.5,8.9,21.8,High-Risk
660,18,Male,1,5.3,3,84.1,0,0.01,6.95,6.13,6.87,15.9,16.3,8.5,18.0,Moderate-Risk
661,18,Male,2,9.24,0,71.1,0,4.21,7.65,7.01,6.89,18.1,21.4,13.7,20.2,Moderate-Risk
662,21,Male,1,5.68,2,75.9,2,2.94,6.05,6.62,4.0,10.5,14.4,7.7,17.1,High-Risk
663,17,Male,1,7.76,1,83.4,1,2.65,6.32,5.35,4.41,16.4,16.9,12.6,21.3,Moderate-Risk
664,18,Male,1,7.0,2,77.9,2,1.83,4.86,0.13,3.38,15.6,15.1,10.7,27.5,Moderate-Risk
665,20,Female,3,7.72,0,82.0,2,4.2,4.88,9.53,3.87,19.4,18.4,9.1,24.3,Moderate-Risk
666,21,Male,1,6.18,3,66.0,5,0.66,4.61,4.59,6.61,20.1,16.4,8.5,17.9,Moderate-Risk
667,20,Female,3,6.38,2,75.5,2,2.09,7.62,4.58,5.99,13.5,16.6,8.2,18.4,High-Risk
668,22,Male,4,8.95,0,81.8,1,4.84,5.69,,5.19,25.0,20.9,12.7,25.4,Good-Performance
669,22,Male,2,8.28,2,85.1,1,3.36,7.17,5.32,9.14,15.9,18.4,9.7,24.4,Good-Performance
670,17,Male,1,7.24,0,75.2,2,3.28,8.56,10.0,8.52,16.9,14.4,12.5,30.5,Moderate-Risk
671,22,Male,3,5.55,3,70.0,0,1.93,6.83,3.34,3.98,14.3,18.1,9.2,18.0,Moderate-Risk
672,20,Male,1,6.42,1,74.9,1,2.95,8.4,7.07,5.38,18.4,13.6,6.5,23.3,Moderate-Risk
673,20,Male,4,6.19,2,75.7,0,1.99,5.49,4.51,4.67,14.3,18.2,10.1,19.7,Moderate-Risk
674,17,Male,3,7.18,0,83.0,0,2.3,7.67,5.2,6.63,19.7,20.5,11.1,21.0,Moderate-Risk
675,20,Male,2,8.03,0,82.4,1,3.12,8.64,3.24,4.79,19.6,21.6,8.0,28.9,Good-Performance
676,21,Female,1,6.0,6,75.7,0,0.49,7.21,3.74,5.42,14.1,9.1,7.0,14.1,High-Risk
677,20,Male,3,4.94,4,75.3,0,1.85,6.71,7.58,6.97,10.2,7.0,8.6,16.1,High-Risk
678,17,Female,3,6.65,6,75.6,2,0.33,4.53,6.04,5.71,10.2,12.5,9.6,18.4,High-Risk
679,20,Male,1,5.11,6,69.8,0,1.43,6.05,5.85,4.24,9.7,7.6,6.9,20.7,High-Risk
680,22,Female,3,6.61,1,91.6,0,2.65,7.28,1.74,6.61,18.0,22.4,7.5,19.1,Moderate-Risk
681,21,Female,2,7.09,1,60.4,5,1.38,5.28,1.79,6.25,8.4,15.3,7.2,14.8,High-Risk
682,17,Female,4,8.19,1,87.1,4,1.78,6.0,3.15,6.52,12.2,13.2,8.3,23.5,Moderate-Risk
683,22,Female,4,9.98,0,100.0,0,3.72,8.87,4.21,4.66,21.2,18.9,10.4,30.3,Good-Performance
684,22,Male,1,4.03,2,66.8,2,1.52,3.36,4.79,7.14,7.6,15.4,2.3,18.6,High-Risk
685,18,Male,1,10.0,0,100.0,0,4.63,7.72,5.63,5.8,25.0,25.0,15.0,30.1,Good-Performance
686,21,Male,2,5.27,1,87.4,1,1.31,7.9,7.04,4.85,16.2,11.1,8.1,23.2,Moderate-Risk
687,19,Female,4,6.73,2,77.1,2,2.87,8.09,7.94,6.72,15.9,19.7,10.7,20.2,Moderate-Risk
688,20,Female,1,3.53,2,64.6,2,1.6,5.81,5.39,7.16,15.6,10.8,8.8,20.8,High-Risk
689,19,Male,2,7.97,1,89.2,0,3.5,6.58,3.31,7.21,18.9,18.5,11.7,30.2,Moderate-Risk
690,21,Female,3,6.28,0,70.5,2,1.65,4.47,6.46,7.83,15.4,11.3,9.3,24.1,Moderate-Risk
691,22,Male,1,5.69,1,98.5,0,2.59,5.75,5.37,5.2,22.1,14.9,10.2,25.9,Moderate-Risk
692,21,Female,1,3.81,3,70.2,1,1.78,6.87,5.93,3.95,4.0,7.3,9.5,16.0,High-Risk
693,22,Female,3,6.31,1,78.9,1,3.04,6.7,7.41,5.85,13.3,20.5,9.9,23.4,Moderate-Risk
694,22,Male,2,8.31,0,72.9,4,3.55,6.54,4.22,2.07,20.2,15.3,8.9,21.5,Good-Performance
695,17,Female,3,7.84,4,80.2,3,3.79,6.51,7.91,5.05,12.7,19.6,7.8,19.6,High-Risk
696,18,Female,1,8.56,1,76.7,1,3.59,8.03,2.15,6.1,16.4,18.3,10.3,30.6,Moderate-Risk
697,21,Male,2,7.28,0,90.2,1,2.65,5.85,6.46,5.43,21.9,13.0,11.2,30.0,Good-Performance
698,20,Male,2,6.32,3,50.6,1,1.23,4.4,3.7,6.65,11.3,11.3,6.3,22.3,High-Risk
699,17,Male,2,8.47,0,100.0,0,3.93,8.93,5.45,6.75,22.4,17.0,11.8,27.9,Good-Performance
700,17,Female,4,6.64,2,71.4,4,1.24,6.53,5.66,6.98,15.0,17.2,9.2,28.5,Moderate-Risk
701,20,Male,1,6.22,3,63.3,2,2.26,7.59,4.3,6.94,17.2,12.0,11.1,21.7,Moderate-Risk
702,20,Female,2,6.54,0,78.5,1,3.0,7.54,3.72,4.28,16.2,14.9,8.6,24.9,Moderate-Risk
703,18,Female,4,7.05,1,79.8,0,3.61,5.28,3.3,6.96,19.2,17.3,10.8,33.8,Moderate-Risk
704,18,Male,1,3.05,3,55.7,6,0.0,0.0,5.57,4.19,10.8,3.6,5.0,8.8,High-Risk
705,17,Male,4,6.73,1,86.8,1,2.44,6.8,6.27,6.68,13.5,20.0,10.5,24.8,Moderate-Risk
706,20,Female,2,6.06,3,69.6,3,1.35,3.7,8.64,6.43,6.6,12.3,3.5,10.8,High-Risk
707,17,Female,1,8.99,0,95.8,0,3.83,8.61,4.49,5.53,20.7,21.2,10.0,28.1,Good-Performance
708,20,Male,1,8.75,0,87.3,0,3.9,9.96,1.93,5.95,19.1,15.9,10.3,31.7,Good-Performance
709,19,Male,2,7.42,1,86.8,1,3.15,5.57,5.94,6.16,16.2,16.6,13.1,23.6,Moderate-Risk
710,19,Male,4,5.64,2,67.2,2,3.56,6.84,1.52,5.65,10.0,14.4,8.2,22.0,Moderate-Risk
711,21,Other,4,4.32,5,73.6,4,2.81,6.91,8.2,8.96,12.1,9.2,6.3,19.7,High-Risk
712,20,Male,3,5.32,0,69.8,2,3.9,6.22,6.52,6.26,14.7,17.1,8.5,21.0,Moderate-Risk
713,21,Female,1,7.26,0,100.0,0,4.04,8.66,2.98,4.99,20.1,21.9,15.0,22.4,Good-Performance
714,21,Male,2,5.31,1,71.6,4,1.58,2.62,1.83,8.65,13.5,10.5,7.1,27.7,High-Risk
715,22,Female,2,4.32,2,63.2,2,0.0,4.58,3.28,6.44,11.0,7.5,4.3,8.1,High-Risk
716,21,Male,1,8.74,0,86.0,3,2.86,7.18,6.06,6.38,23.6,18.9,12.8,23.5,Good-Performance
717,20,Male,1,8.58,0,100.0,0,4.34,9.47,3.46,9.17,25.0,25.0,13.0,23.2,Good-Performance
718,19,Female,2,8.97,0,78.7,1,4.61,8.8,6.49,7.22,19.0,22.1,12.7,25.7,Good-Performance
719,18,Female,2,6.54,1,85.2,0,3.94,6.41,6.88,6.16,16.8,16.3,10.8,26.7,Moderate-Risk
720,20,Male,3,8.42,0,77.3,3,2.86,4.19,3.86,3.44,14.6,16.7,11.9,30.6,Good-Performance
721,17,Male,2,7.33,3,59.8,2,1.95,3.43,6.77,2.25,18.2,13.9,5.3,19.3,Moderate-Risk
722,22,Male,1,3.88,3,56.5,0,2.6,6.56,7.42,8.14,10.9,11.9,6.6,14.8,High-Risk
723,22,Male,1,5.2,0,85.1,0,1.77,6.45,6.13,6.74,20.7,17.0,7.7,23.6,Moderate-Risk
724,17,Male,3,7.73,2,84.0,3,4.27,4.72,6.09,5.64,18.7,19.3,13.0,20.9,Good-Performance
725,21,Female,3,7.46,0,74.9,3,2.76,4.18,3.88,5.63,13.7,14.9,10.9,14.5,Moderate-Risk
726,17,Male,1,6.34,0,80.5,1,1.7,6.65,9.06,6.79,15.3,10.0,10.4,17.7,Moderate-Risk
727,21,Female,4,4.84,4,68.5,2,0.66,5.66,3.04,7.08,12.1,14.3,10.7,22.9,High-Risk
728,17,Male,3,6.28,2,73.1,1,1.08,8.07,4.11,5.45,10.8,10.2,11.8,15.1,High-Risk
729,19,Male,1,8.38,0,94.3,0,4.35,7.81,6.88,6.85,22.0,23.1,13.0,27.4,Good-Performance
730,20,Female,2,8.6,0,93.9,0,3.18,8.52,4.25,7.49,18.7,17.2,13.0,31.3,Good-Performance
731,21,Male,4,6.43,0,76.2,3,3.9,6.22,4.4,5.49,20.9,16.0,10.9,25.1,Moderate-Risk
732,19,Female,2,5.78,3,87.1,3,2.54,8.01,2.28,3.26,11.5,19.1,11.1,19.2,Moderate-Risk
733,22,Male,1,4.42,2,61.1,2,2.35,7.88,4.06,5.42,17.2,19.4,4.4,21.2,Moderate-Risk
734,21,Female,2,7.59,0,82.3,1,3.57,8.27,9.83,4.7,16.6,16.2,10.5,27.1,Moderate-Risk
735,18,Female,1,10.0,0,100.0,1,5.37,10.0,4.28,8.78,12.6,25.0,11.8,28.3,Moderate-Risk
736,21,Female,3,4.41,6,63.4,2,0.88,5.79,7.56,4.72,5.5,14.4,7.4,8.4,High-Risk
737,21,Male,3,6.58,0,77.3,0,2.97,4.22,4.0,4.35,17.0,15.8,11.0,26.9,Moderate-Risk
738,19,Male,4,7.85,0,96.9,1,1.67,5.99,2.87,5.23,16.1,17.2,10.5,25.6,Moderate-Risk
739,21,Male,3,7.51,2,92.5,0,3.01,8.32,3.44,7.92,19.3,15.9,9.7,25.5,Moderate-Risk
740,22,Male,3,9.07,0,92.7,0,4.84,7.4,6.45,7.8,19.9,18.6,11.9,24.1,Good-Performance
741,21,Male,2,10.0,0,85.1,0,4.33,7.78,0.64,5.35,24.0,17.1,15.0,35.0,Good-Performance
742,21,Male,4,6.03,1,63.1,1,4.39,4.54,8.41,5.23,15.6,12.1,5.7,17.6,High-Risk
743,20,Male,1,7.27,0,88.7,1,3.51,9.23,5.95,6.58,20.6,9.9,15.0,23.4,Moderate-Risk
744,18,Male,1,6.65,2,86.8,0,2.08,8.95,4.25,8.88,19.3,16.7,12.7,26.5,Good-Performance
745,21,Male,4,6.48,0,76.2,4,2.4,5.56,3.41,3.03,15.9,19.0,8.3,20.0,High-Risk
746,19,Male,4,8.25,0,62.7,2,1.4,5.72,3.96,4.01,15.2,16.8,10.7,23.1,Moderate-Risk
747,20,Male,2,7.85,1,81.9,1,2.32,8.77,7.3,10.0,22.6,18.0,10.6,20.3,Moderate-Risk
748,18,Female,2,6.74,3,72.6,4,1.58,7.88,1.84,8.34,16.2,14.2,9.6,17.7,Moderate-Risk
749,18,Male,1,5.46,5,71.6,1,1.81,3.17,4.89,3.4,10.9,19.2,7.2,19.7,High-Risk
750,17,Male,3,5.57,4,88.9,3,2.07,7.41,7.26,10.0,13.6,18.2,7.9,19.1,High-Risk
751,22,Male,1,6.41,1,82.0,2,3.22,6.93,0.95,7.34,16.4,10.9,10.1,28.3,Moderate-Risk
752,17,Female,2,6.07,2,75.0,3,1.74,6.03,3.74,6.37,16.8,20.2,6.8,14.2,High-Risk
753,17,Male,2,6.8,2,77.2,1,1.85,5.19,1.97,8.25,18.8,21.4,10.0,21.4,Moderate-Risk
754,22,Female,4,7.54,0,86.3,0,4.24,5.56,2.42,4.8,19.8,14.1,10.0,25.2,Moderate-Risk
755,20,Female,4,8.04,0,73.4,2,0.63,2.14,5.43,4.7,16.5,20.2,13.6,22.9,Moderate-Risk
756,19,Male,4,5.02,3,75.0,1,1.85,4.75,,6.07,17.0,12.7,9.7,15.6,High-Risk
757,21,Female,3,6.13,4,71.5,1,2.23,2.84,4.18,6.33,14.1,7.6,7.3,19.8,High-Risk
758,19,Female,2,9.03,0,82.2,1,3.73,6.59,2.0,6.82,18.8,17.4,14.3,35.0,Good-Performance
759,17,Male,1,6.4,1,83.2,0,2.82,7.0,3.27,6.71,9.6,18.2,10.1,19.5,High-Risk
760,21,Male,2,6.29,2,59.6,2,2.62,4.05,5.79,5.22,17.7,17.7,11.1,15.6,Moderate-Risk
761,18,Female,2,6.57,1,72.2,1,2.81,8.06,4.93,7.14,13.8,24.6,10.8,23.9,Moderate-Risk
762,20,Other,3,7.93,1,89.4,5,2.86,10.0,2.64,7.4,16.0,20.0,9.6,25.8,Moderate-Risk
763,22,Male,2,8.14,0,93.1,0,2.12,7.85,4.02,6.55,15.2,13.4,12.5,23.0,Moderate-Risk
764,22,Male,4,8.48,2,89.2,1,3.35,8.26,,6.25,22.4,16.2,11.6,29.5,Good-Performance
765,19,Female,2,7.41,1,70.0,1,1.6,3.69,5.4,4.96,16.1,14.0,12.2,23.4,Moderate-Risk
766,21,Male,2,5.88,2,68.7,2,1.15,5.81,2.91,3.97,14.9,12.1,6.5,15.7,High-Risk
767,20,Female,3,9.43,0,96.1,0,5.09,5.93,5.51,8.32,21.3,20.8,14.3,24.3,Good-Performance
768,19,Male,3,8.03,1,98.8,0,4.59,4.89,3.88,7.1,19.2,19.9,9.6,30.1,Moderate-Risk
769,17,Female,1,5.23,0,83.0,2,3.16,4.32,3.71,7.37,14.8,19.6,12.2,18.2,High-Risk
770,19,Female,3,9.27,0,97.0,0,4.5,7.53,5.26,4.77,16.9,21.8,13.3,29.8,Good-Performance
771,20,Female,3,6.4,3,73.6,0,2.13,5.82,2.8,5.42,17.1,8.0,7.9,19.6,High-Risk
772,22,Female,1,8.13,0,81.0,1,4.54,7.17,4.12,6.33,17.6,21.4,14.4,30.4,Good-Performance
773,17,Female,2,9.04,0,77.6,1,4.0,5.47,7.09,6.63,18.5,14.2,14.8,29.1,Good-Performance
774,21,Female,4,5.88,6,71.1,2,3.52,5.74,,4.99,15.0,11.4,8.9,24.2,Moderate-Risk
775,22,Female,1,7.06,1,85.4,1,2.14,5.87,1.57,8.77,20.9,23.0,10.2,27.0,Moderate-Risk
776,22,Male,2,6.53,3,80.1,3,3.73,7.07,3.24,7.73,16.5,11.7,9.4,18.3,Moderate-Risk
777,19,Female,1,9.29,0,99.2,0,3.45,8.19,7.26,6.91,25.0,25.0,12.6,31.6,Good-Performance
778,17,Male,2,5.74,3,66.2,0,2.52,2.84,2.49,6.02,14.7,15.1,6.3,19.6,Moderate-Risk
779,18,Female,4,7.16,0,79.7,4,2.1,6.23,4.74,5.91,19.0,20.5,13.5,26.0,Good-Performance
780,22,Female,2,6.18,2,86.2,1,1.42,7.41,8.59,5.46,15.7,11.4,11.4,26.9,Moderate-Risk
781,22,Male,4,4.69,4,71.4,3,0.35,6.65,3.54,2.71,11.8,12.1,5.6,18.7,High-Risk
782,20,Male,4,6.14,1,74.1,1,2.63,4.3,4.5,7.18,16.3,13.7,11.2,14.4,High-Risk
783,17,Male,1,5.51,1,71.0,1,2.82,4.99,2.42,6.08,19.7,12.8,9.1,20.9,Moderate-Risk
784,17,Female,3,4.81,0,81.0,1,3.86,5.12,6.37,7.8,14.5,12.9,7.2,19.1,High-Risk
785,19,Male,4,6.05,2,86.2,1,2.67,8.53,1.42,7.58,16.3,24.6,11.0,21.0,Moderate-Risk
786,20,Male,4,8.02,0,90.8,1,3.96,8.0,3.62,6.56,17.8,21.5,11.4,29.6,Good-Performance
787,17,Female,3,6.07,1,77.7,3,2.84,4.55,2.4,6.05,17.1,15.6,7.2,25.4,Moderate-Risk
788,21,Female,1,5.42,3,65.4,0,2.69,6.37,4.36,5.17,12.9,15.4,8.1,21.8,High-Risk
789,20,Male,1,6.34,4,76.0,0,2.51,8.09,8.71,4.83,10.0,14.1,7.3,24.9,High-Risk
790,17,Male,1,6.3,3,90.2,1,3.49,7.03,5.77,4.92,20.3,18.5,7.3,28.3,Moderate-Risk
791,17,Female,3,6.97,2,69.5,1,1.73,5.05,5.48,4.57,15.8,11.9,8.7,25.9,Moderate-Risk
792,19,Female,2,6.91,0,81.4,2,1.19,8.38,5.59,6.38,18.2,21.3,11.1,29.5,Moderate-Risk
793,21,Female,3,7.26,3,92.9,0,3.09,7.23,4.95,7.62,21.6,12.0,8.2,24.0,Moderate-Risk
794,21,Male,3,4.44,2,61.1,2,0.0,4.62,7.57,6.95,9.7,10.1,6.9,13.6,High-Risk
795,19,Male,1,5.17,2,74.1,0,3.23,7.22,6.55,4.17,16.2,18.1,9.0,28.6,Moderate-Risk
796,18,Male,4,6.1,1,66.5,1,2.14,6.09,2.4,7.51,16.2,21.8,10.7,24.3,Moderate-Risk
797,22,Female,1,8.83,1,88.7,1,2.46,7.46,6.95,6.7,20.4,11.6,11.2,23.2,Good-Performance
798,19,Male,1,8.52,0,85.8,1,5.97,8.64,5.47,7.78,18.7,16.5,13.4,28.6,Good-Performance
799,18,Male,4,9.15,0,78.0,1,3.9,6.65,5.91,7.1,24.0,20.9,13.8,28.2,Good-Performance
800,19,Female,1,7.42,0,70.0,3,2.42,4.44,0.98,3.38,21.9,18.2,7.3,25.7,Moderate-Risk
801,17,Female,1,7.16,1,85.8,2,3.78,7.52,5.0,6.8,15.6,16.4,13.8,24.8,Moderate-Risk
802,18,Female,4,4.16,1,54.8,5,2.07,7.11,4.72,8.63,14.3,11.5,8.9,10.6,High-Risk
803,20,Male,4,8.26,1,71.2,3,3.87,2.98,3.61,3.82,17.6,17.1,9.8,26.3,Moderate-Risk
804,22,Male,4,5.2,1,70.9,2,0.44,6.58,7.15,4.93,13.8,12.1,6.1,15.6,High-Risk
805,21,Male,1,6.93,0,76.9,0,2.93,6.32,1.73,3.28,17.5,15.7,10.9,13.5,Moderate-Risk
806,21,Male,1,9.9,0,92.2,1,4.66,7.78,10.0,5.88,20.8,24.8,13.9,35.0,Good-Performance
807,20,Male,1,5.68,0,75.1,3,1.91,5.47,2.76,3.89,14.0,21.8,8.3,18.2,Moderate-Risk
808,17,Male,1,4.97,2,84.4,0,1.85,7.37,5.94,5.18,13.0,13.0,7.7,15.5,High-Risk
809,19,Female,4,7.9,2,87.1,1,1.2,7.88,5.43,6.95,21.0,21.1,12.0,24.2,Moderate-Risk
810,22,Female,1,6.03,2,73.9,5,2.92,4.35,7.34,7.09,13.6,14.4,10.9,21.0,High-Risk
811,17,Other,3,4.93,8,75.7,1,1.47,6.15,8.34,3.32,14.7,10.9,10.7,16.4,High-Risk
812,22,Male,1,8.26,0,93.1,1,3.75,10.0,4.13,6.31,22.6,21.5,13.1,32.8,Good-Performance
813,21,Male,2,6.91,0,70.7,1,3.23,7.81,5.35,6.21,19.3,13.4,11.2,29.9,Good-Performance
814,18,Male,1,8.08,0,63.7,3,2.63,3.62,4.15,5.53,17.1,13.0,9.7,19.7,Moderate-Risk
815,21,Male,1,6.23,3,68.8,2,3.21,6.8,3.07,7.56,12.5,12.7,8.1,21.4,High-Risk
816,22,Male,1,5.77,1,60.1,6,1.27,3.74,5.07,6.95,13.9,14.8,7.7,20.7,Moderate-Risk
817,17,Male,4,8.76,0,90.2,0,3.39,7.96,4.95,7.92,19.3,25.0,11.7,33.5,Good-Performance
818,17,Female,3,6.1,1,74.5,2,2.55,5.3,5.02,6.42,16.6,15.6,12.9,24.2,Moderate-Risk
819,20,Male,3,1.86,7,56.9,3,0.0,4.46,4.24,5.52,4.6,3.4,2.8,2.5,High-Risk
820,22,Female,2,9.89,0,99.2,0,4.58,7.42,5.68,5.72,25.0,25.0,14.3,35.0,Good-Performance
821,17,Male,3,6.24,1,82.6,0,1.99,5.02,6.56,6.91,10.8,17.0,10.7,23.3,Moderate-Risk
822,20,Male,3,6.02,3,69.6,2,1.51,6.77,2.59,5.09,11.2,20.4,13.1,24.2,Moderate-Risk
823,17,Male,2,6.83,1,90.3,2,3.84,7.54,6.23,5.25,20.9,22.7,12.2,26.9,Good-Performance
824,20,Male,3,7.33,2,75.7,2,4.26,7.78,8.12,7.3,20.5,19.6,10.3,26.0,Good-Performance
825,20,Male,4,7.28,2,88.5,3,3.14,6.31,2.45,7.38,23.6,19.5,9.5,27.3,Moderate-Risk
826,17,Other,4,6.5,3,83.4,1,2.07,3.98,5.31,5.8,13.9,17.9,7.5,23.6,Moderate-Risk
827,21,Male,4,5.39,3,73.2,0,1.4,6.47,5.91,7.25,12.5,15.4,7.5,16.8,High-Risk
828,22,Male,2,6.79,1,76.8,4,2.26,8.64,6.57,6.33,18.5,20.0,9.7,14.4,Moderate-Risk
829,22,Female,1,7.89,0,94.5,1,4.7,6.83,,6.14,25.0,23.7,12.3,27.2,Good-Performance
830,17,Male,1,5.93,1,60.0,0,2.07,6.14,7.41,6.78,9.7,13.7,9.2,18.7,High-Risk
831,18,Female,1,5.59,6,53.6,1,0.0,4.7,5.27,4.76,13.6,10.4,6.8,15.5,High-Risk
832,18,Male,2,8.73,0,92.2,0,4.56,10.0,3.01,8.08,22.4,20.4,12.7,24.2,Moderate-Risk
833,19,Female,2,6.76,3,85.7,3,2.99,5.51,4.28,5.74,13.9,13.7,10.6,19.1,High-Risk
834,17,Male,3,7.17,1,65.1,3,2.71,5.64,7.89,5.86,16.2,11.8,6.1,23.9,High-Risk
835,22,Male,2,4.49,1,69.9,1,0.0,2.84,3.24,5.7,12.0,19.2,8.7,20.8,Moderate-Risk
836,21,Female,3,6.68,2,80.0,2,2.45,8.72,6.04,7.99,20.0,16.0,11.8,17.2,Moderate-Risk
837,21,Female,4,4.27,2,61.7,2,2.05,4.11,6.69,2.51,5.7,8.0,7.5,9.1,High-Risk
838,18,Male,1,5.91,2,70.9,1,2.41,7.75,6.22,4.65,13.8,19.0,7.8,13.6,High-Risk
839,17,Female,1,5.8,1,84.0,0,2.87,5.65,6.86,7.67,18.6,17.2,11.0,24.4,Moderate-Risk
840,22,Male,3,5.65,0,81.2,2,3.48,6.45,4.94,7.02,16.0,20.2,9.4,17.8,Moderate-Risk
841,18,Male,2,9.24,2,87.0,0,3.55,6.13,4.8,5.57,22.3,18.3,13.0,26.9,Moderate-Risk
842,20,Male,2,9.01,0,85.3,0,5.05,6.26,8.63,6.35,21.9,23.6,13.7,32.7,Good-Performance
843,22,Female,4,8.05,0,88.5,0,3.86,7.12,8.94,7.32,21.6,22.7,15.0,30.3,Good-Performance
844,17,Male,1,7.17,0,80.9,0,3.31,6.77,7.89,8.68,20.6,19.1,11.1,24.8,Moderate-Risk
845,17,Female,3,6.39,2,74.7,5,3.18,5.61,6.1,5.49,15.6,13.7,10.1,27.9,Moderate-Risk
846,17,Male,4,5.13,2,67.2,4,1.64,3.36,3.85,7.65,8.4,15.1,7.8,16.9,High-Risk
847,17,Female,2,6.54,0,74.9,2,1.53,6.68,5.27,7.19,21.5,17.8,9.7,22.6,Moderate-Risk
848,17,Female,3,7.17,1,74.5,3,2.97,3.65,4.74,4.34,21.9,13.6,9.2,22.9,Moderate-Risk
849,21,Male,1,6.9,0,84.4,0,3.69,6.52,7.2,5.39,21.0,25.0,13.2,25.2,Good-Performance
850,20,Male,2,8.2,0,80.5,0,3.83,4.42,5.78,7.7,16.8,23.2,11.1,28.2,Moderate-Risk
851,22,Male,1,6.29,2,70.3,3,3.24,7.39,6.17,8.6,17.3,16.4,9.6,24.6,Moderate-Risk
852,21,Female,3,7.86,0,67.3,0,3.07,8.34,4.93,6.59,12.6,21.0,12.3,18.5,Moderate-Risk
853,22,Male,3,7.99,0,93.9,0,3.35,8.46,0.01,8.34,14.9,19.9,14.3,23.9,Good-Performance
854,18,Male,4,8.57,0,88.6,0,2.67,6.47,7.62,6.83,25.0,16.5,14.6,29.1,Good-Performance
855,18,Male,3,7.27,3,70.8,4,2.7,4.99,4.87,5.9,11.8,18.9,8.2,17.0,Moderate-Risk
856,22,Female,1,5.87,2,73.2,1,0.36,5.31,6.94,6.35,12.2,10.5,8.9,14.4,High-Risk
857,18,Male,4,4.85,2,62.3,5,1.83,5.27,4.32,3.96,13.8,14.5,9.4,19.8,High-Risk
858,17,Male,2,5.51,3,74.5,2,4.52,6.55,8.24,5.9,15.9,12.6,8.7,24.3,Moderate-Risk
859,21,Other,3,6.71,1,72.0,0,1.35,6.91,3.93,5.59,16.4,13.7,8.9,26.1,Moderate-Risk
860,21,Male,1,6.99,1,79.0,2,3.06,3.62,4.86,7.23,16.2,17.9,12.2,18.0,Moderate-Risk
861,22,Female,3,4.23,0,72.1,2,1.71,6.31,5.03,6.64,11.7,15.4,5.9,15.7,High-Risk
862,22,Male,4,5.27,1,70.9,3,2.55,6.4,1.98,5.93,18.3,15.5,9.4,18.9,Moderate-Risk
863,17,Male,1,6.87,1,74.4,1,1.82,5.2,5.82,7.71,18.4,16.6,8.8,20.5,Moderate-Risk
864,21,Female,2,4.27,1,77.0,0,2.24,4.32,6.65,3.6,15.7,7.6,8.1,12.7,High-Risk
865,22,Female,2,7.2,1,79.8,1,2.37,6.75,5.84,4.92,10.9,16.6,8.0,29.2,Moderate-Risk
866,21,Female,2,6.33,1,67.4,2,0.97,6.11,9.63,8.12,16.4,10.1,7.3,20.0,Moderate-Risk
867,21,Male,2,5.32,2,75.1,2,2.78,4.17,3.22,6.8,14.4,14.2,5.7,15.7,High-Risk
868,22,Male,3,6.86,0,86.5,0,3.14,6.72,1.55,3.97,14.5,16.5,13.9,24.4,Moderate-Risk
869,19,Male,2,7.54,0,86.7,0,1.94,7.11,2.62,6.75,23.1,16.9,8.1,23.2,Moderate-Risk
870,17,Male,1,4.86,2,59.0,2,1.33,6.55,5.17,4.41,8.5,13.1,9.3,21.7,High-Risk
871,19,Male,3,6.67,2,63.9,2,1.78,5.61,7.4,5.48,14.8,16.6,7.8,18.9,High-Risk
872,18,Male,3,7.72,0,85.6,1,1.39,3.81,5.35,6.45,20.8,18.8,6.6,21.9,Moderate-Risk
873,17,Male,1,5.11,0,70.3,1,2.58,6.03,4.01,6.15,14.4,15.0,8.8,19.5,Moderate-Risk
874,17,Male,4,3.91,2,48.2,2,1.89,1.92,7.99,5.28,4.4,13.9,10.3,17.6,High-Risk
875,21,Male,4,4.25,1,58.9,0,0.97,3.57,4.77,4.48,15.8,3.3,5.5,11.7,High-Risk
876,20,Male,4,5.64,1,70.3,2,2.14,3.83,2.25,7.5,9.0,11.3,11.5,14.9,High-Risk
877,20,Female,2,5.39,3,64.7,1,1.55,5.89,7.0,6.92,8.2,13.5,10.2,18.8,High-Risk
